ID Único;Cliente;Modelo;Fecha;Video Path;Grifo;Ciclo #;Hora Inicio;Hora Fin;Duración (s);Cervezas;Tamaño (ml);Espuma (%);Mala Praxis;Causas Error;Clip Path;URL Video
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_8908446;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;50;20:48:02;20:48:09;7;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_080.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_080.mp4?alt=media
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_9286943;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;51;20:54:20;20:54:26;5;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_081.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_081.mp4?alt=media
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_9420443;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;52;20:56:34;20:56:47;13;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_082.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_082.mp4?alt=media
CProyectosgamboozaSinremediosSevillavideosdias20260102SinremediosSevilla0020260102181934mp4_MANUAL_mkpwgxa6;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;53;20:56:34;20:56:47;13;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_082.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_082.mp4?alt=media
CProyectosgamboozaSinremediosSevillavideosdias20260102SinremediosSevilla0020260102181934mp4_MANUAL_mkpwh0xo;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;54;20:56:34;20:56:47;13;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_082.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_082.mp4?alt=media
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_9856940;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;55;21:03:50;21:03:56;6;1;400;;MP-2: trough away beer;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_083.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_083.mp4?alt=media
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_9863940;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;56;21:03:57;21:05:58;120;0;330;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_084.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_084.mp4?alt=media
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_10006939_S1;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;57;21:06:20;21:06:27;6;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_085.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_085.mp4?alt=media
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_10006939_S2;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;58;21:06:20;21:06:27;6;0;330;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_085.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_085.mp4?alt=media
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_10028939;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;59;21:06:42;21:06:45;3;0;330;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_086.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_086.mp4?alt=media
